State,County,County Median Household Income,State Median Household Income
Alabama,Autauga,68315,59609
Alabama,Baldwin,71039,59609
Alabama,Barbour,39712,59609
Alabama,Bibb,50669,59609
Alabama,Blount,57440,59609
Alabama,Bullock,36136,59609
Alabama,Butler,44429,59609
Alabama,Calhoun,54339,59609
Alabama,Chambers,48805,59609
Alabama,Cherokee,46621,59609
Alabama,Chilton,62471,59609
Alabama,Choctaw,43299,59609
Alabama,Clarke,47549,59609
Alabama,Clay,48074,59609
Alabama,Cleburne,51553,59609
Alabama,Coffee,62199,59609
Alabama,Colbert,56149,59609
Alabama,Conecuh,39888,59609
Alabama,Coosa,52279,59609
Alabama,Covington,48772,59609
Alabama,Crenshaw,48557,59609
Alabama,Cullman,58119,59609
Alabama,Dale,52813,59609
Alabama,Dallas,37180,59609
Alabama,DeKalb,47920,59609
Alabama,Elmore,73258,59609
Alabama,Escambia,41153,59609
Alabama,Etowah,52177,59609
Alabama,Fayette,45650,59609
Alabama,Franklin,47359,59609
Alabama,Geneva,47608,59609
Alabama,Greene,32796,59609
Alabama,Hale,35851,59609
Alabama,Henry,58395,59609
Alabama,Houston,55064,59609
Alabama,Jackson,46748,59609
Alabama,Jefferson,63595,59609
Alabama,Lamar,49565,59609
Alabama,Lauderdale,56081,59609
Alabama,Lawrence,54786,59609
Alabama,Lee,59288,59609
Alabama,Limestone,80146,59609
Alabama,Lowndes,33125,59609
Alabama,Macon,41206,59609
Alabama,Madison,78058,59609
Alabama,Marengo,42975,59609
Alabama,Marion,49743,59609
Alabama,Marshall,58272,59609
Alabama,Mobile,55352,59609
Alabama,Monroe,39965,59609
Alabama,Montgomery,56707,59609
Alabama,Morgan,61588,59609
Alabama,Perry,32332,59609
Alabama,Pickens,45339,59609
Alabama,Pike,42616,59609
Alabama,Randolph,49879,59609
Alabama,Russell,47420,59609
Alabama,St. Clair,73218,59609
Alabama,Shelby,90618,59609
Alabama,Sumter,31726,59609
Alabama,Talladega,52457,59609
Alabama,Tallapoosa,53282,59609
Alabama,Tuscaloosa,61645,59609
Alabama,Walker,52987,59609
Alabama,Washington,51184,59609
Alabama,Wilcox,38208,59609
Alabama,Winston,49494,59609
Alaska,Aleutians East Borough,79961,86370
Alaska,Aleutians West Census Area,100662,86370
Alaska,Anchorage Municipality,95731,86370
Alaska,Bethel Census Area,64094,86370
Alaska,Bristol Bay Borough,94167,86370
Alaska,Chugach Census Area,83068,86370
Alaska,Copper River Census Area,70606,86370
