State,Median Household Income,Total Households,Households with Internet,With Desktop or Laptop,Only Smartphone,No Computer,Year,Percent With Internet,Percent With Any Computer,Percent With Desktop or Laptop,Percent Only Smartphone,Graduation Percent
Alabama,52035,1888504,1516816,1659065,7242,1491634,2020,80.32,21.02,87.85075382,0.383478139,91
Alaska,77790,255173,223644,242325,777,221809,2020,87.64,13.08,94.96498454,0.3044993,79
Arizona,61529,2643430,2296123,2467069,7444,2272487,2020,86.86,14.03,93.32832721,0.281603825,77
Arkansas,49475,1170544,904327,1031971,3200,892375,2020,77.26,23.76,88.16165817,0.273377165,89
California,78672,13103114,11677634,12360505,25816,11574531,2020,89.12,11.67,94.33257621,0.197021868,84
Colorado,75231,2137402,1922418,2028365,5972,1905129,2020,89.94,10.87,94.89861991,0.279404623,82
Connecticut,79855,1385437,1213487,1274056,3944,1198191,2020,87.59,13.52,91.96058716,0.284675521,88
Delaware,69110,370953,325137,345186,904,321536,2020,87.65,13.32,93.05383701,0.243696641,89
District of Columbia,90842,288307,247123,268218,239,244916,2020,85.72,15.05,93.03208039,0.082897744,73
Florida,57703,7931313,6794361,7383447,17905,6723485,2020,85.67,15.23,93.09236693,0.225750768,90
Georgia,61224,3830264,3240391,3522345,6730,3202843,2020,84.6,16.38,91.96089356,0.175705904,84
Hawaii,83173,467932,408711,433778,1080,404642,2020,87.34,13.53,92.70107622,0.230802766,86
Idaho,58915,649299,561316,605316,2920,555269,2020,86.45,14.48,93.2260792,0.44971577,82
Illinois,68428,4884061,4182672,4468588,13129,4131194,2020,85.64,15.41,91.49328806,0.268813186,
Indiana,58235,2602770,2173566,2350951,8927,2144422,2020,83.51,17.61,90.32496148,0.342980747,91
Iowa,61836,1273941,1064955,1151928,6366,1049834,2020,83.6,17.59,90.4223979,0.49970917,92
Kansas,61091,1141985,968227,1047658,3183,956641,2020,84.78,16.23,91.74008415,0.278725202,88
Kentucky,52238,1748053,1432259,1547842,4968,1410645,2020,81.93,19.3,88.54662873,0.284201909,91
Louisiana,50800,1751956,1388788,1543376,3587,1367200,2020,79.27,21.96,88.09444986,0.204742585,83
Maine,59489,569551,484064,518583,3646,476513,2020,84.99,16.34,91.05119647,0.640153384,87
Maryland,87063,2230527,1979676,2088686,4684,1959856,2020,88.75,12.13,93.64091984,0.209995216,87
Massachusetts,84385,2646980,2341159,2450583,5203,2315060,2020,88.45,12.54,92.58033684,0.196563631,89
Michigan,59234,3980408,3371760,3625797,12050,3324898,2020,84.71,16.47,91.09108915,0.302732785,82
Minnesota,73382,2207988,1931066,2046817,9131,1906917,2020,87.46,13.64,92.7005491,0.413543914,84
Mississippi,46511,1116649,849925,965947,3047,835084,2020,76.11,25.22,86.50408499,0.272869989,88
Missouri,57290,2440212,2037219,2213727,7546,2009953,2020,83.49,17.63,90.71863428,0.309235427,90
Montana,56539,436048,366314,394771,3058,359891,2020,84.01,17.47,90.53384031,0.70129894,86
Nebraska,63015,766663,659433,701638,3297,651056,2020,86.01,15.08,91.5184377,0.430045535,88
Nevada,62043,1130011,968942,1058007,2520,959333,2020,85.75,15.1,93.62802663,0.223006679,83
New Hampshire,77923,539116,480851,505000,1930,475406,2020,89.19,11.82,93.67186283,0.357993456,88
New Jersey,85245,3272054,2884202,3040126,7262,2851052,2020,88.15,12.87,92.91185292,0.221940102,91
New Mexico,51243,792755,620675,698146,3212,611142,2020,78.29,22.91,88.06579586,0.405169315,77
New York,71117,7417224,6340640,6754292,18682,6249957,2020,85.49,15.74,91.06226265,0.251873208,84
North Carolina,56642,4031592,3374563,3657447,9862,3332220,2020,83.7,17.35,90.71967104,0.244618007,88
North Dakota,65315,320873,267270,292964,719,263923,2020,83.29,17.75,91.30216628,0.224076192,89
Ohio,58116,4717226,4003564,4276409,14425,3949300,2020,84.87,16.28,90.65516471,0.305794126,84
Oklahoma,53840,1493569,1223957,1352894,3582,1208754,2020,81.95,19.07,90.5812855,0.239828224,81
Oregon,65667,1642579,1452727,1545561,6247,1437660,2020,88.44,12.48,94.09355654,0.380316563,83
Pennsylvania,63627,5106601,4313011,4573026,20784,4248840,2020,84.46,16.8,89.55126903,0.407002623,87
Puerto Rico,21058,1205749,789532,875327,13049,740364,2020,65.48,38.6,72.59612075,1.082231874,78
Rhode Island,70305,414730,359855,375980,834,355195,2020,86.77,14.36,90.65657175,0.201094688,84
South Carolina,54864,1961481,1597757,1769828,4218,1578651,2020,81.46,19.52,90.22916867,0.215041594,82
South Dakota,59896,347878,290845,313834,1188,287191,2020,83.61,17.44,90.21381059,0.341499031,84
Tennessee,54833,2639455,2157504,2352354,5409,2129319,2020,81.74,19.33,89.12271662,0.204928669,90
Texas,63826,9906070,8446082,9187393,16891,8358356,2020,85.26,15.62,92.74508458,0.170511616,
Utah,74197,1003345,898996,964342,2709,892660,2020,89.6,11.03,96.11270301,0.269996861,88
Vermont,63477,262852,220021,239892,1872,216046,2020,83.71,17.81,91.26504649,0.712187847,83
Virginia,76398,3184121,2749042,2939714,8408,2719503,2020,86.34,14.59,92.32419245,0.264060317,89
Washington,77006,2905822,2626064,2755772,7756,2603312,2020,90.37,10.41,94.83622878,0.266912426,83
West Virginia,48037,734235,581748,632566,2477,569886,2020,79.23,22.38,86.15307088,0.33735793,92
Wisconsin,63293,2377935,2025923,2157295,11692,1998288,2020,85.2,15.97,90.72136118,0.491687115,90
Wyoming,65304,233231,201133,217146,741,198588,2020,86.24,14.85,93.10340392,0.317710767,82
