State,County,County Median Household Income,State Median Household Income
Alabama,Autauga,57982,52035
Alabama,Baldwin,61756,52035
Alabama,Barbour,34990,52035
Alabama,Bibb,51721,52035
Alabama,Blount,48922,52035
Alabama,Bullock,33866,52035
Alabama,Butler,44850,52035
Alabama,Calhoun,50128,52035
Kentucky,Lewis,29844,52238
Kentucky,Lincoln,42231,52238
Kentucky,Livingston,52795,52238
Kentucky,Logan,48912,52238
Kentucky,Lyon,49286,52238
Kentucky,McCracken,47011,52238
Kentucky,McCreary,29499,52238
Kentucky,Madison,51649,52238
Kentucky,Marion,43587,52238
Kentucky,Marshall,57348,52238
Kentucky,Mason,46241,52238
Kentucky,Meade,61500,52238
Kentucky,Mercer,52312,52238
Kentucky,Metcalfe,40391,52238
Kentucky,Montgomery,46998,52238
Kentucky,Morgan,37399,52238
Kentucky,Nelson,63032,52238
Kentucky,Nicholas,47665,52238
Kentucky,Oldham,103761,52238
Kentucky,Owen,50553,52238
Kentucky,Pendleton,56000,52238
Kentucky,Pike,34700,52238
Kentucky,Powell,41071,52238
Kentucky,Robertson,53074,52238
Kentucky,Rockcastle,38744,52238
Kentucky,Russell,41731,52238
Kentucky,Scott,71750,52238
Kentucky,Simpson,50159,52238
Kentucky,Spencer,85488,52238
Kentucky,Todd,47229,52238
Kentucky,Trimble,57589,52238
Kentucky,Union,49812,52238
Kentucky,Washington,55321,52238
Kentucky,Wayne,37678,52238
Kentucky,Whitley,39258,52238
Kentucky,Wolfe,22292,52238
Maine,Androscoggin,55002,59489
Maine,Aroostook,43791,59489
Maine,Franklin,51630,59489
Maine,Hancock,58345,59489
Maine,Knox,57794,59489
Maine,Lincoln,58125,59489
Maine,Penobscot,52128,59489
Maine,Piscataquis,42083,59489
Maine,Somerset,45382,59489
Maine,Washington,44847,59489
Maine,York,68932,59489
Minnesota,Anoka,84379,73382
Minnesota,Becker,60508,73382
Minnesota,Beltrami,50525,73382
Minnesota,Benton,60564,73382
Minnesota,Big Stone,55909,73382
Minnesota,Blue Earth,61058,73382
Minnesota,Brown,59804,73382
Minnesota,Carlton,66201,73382
Minnesota,Carver,104011,73382
Minnesota,Cass,53845,73382
Minnesota,Chippewa,57301,73382
Minnesota,Chisago,86900,73382
Tennessee,Meigs,50733,54833
Tennessee,Montgomery,60878,54833
Tennessee,Moore,63762,54833
Tennessee,Obion,39985,54833
Tennessee,Overton,36478,54833
Tennessee,Pickett,43125,54833
Tennessee,Polk,45326,54833
Tennessee,Rhea,46096,54833
Tennessee,Roane,55578,54833
Tennessee,Rutherford,68718,54833
Tennessee,Scott,37135,54833
Tennessee,Sequatchie,44217,54833
Tennessee,Shelby,52092,54833
Tennessee,Smith,48611,54833
Tennessee,Sullivan,47438,54833
Tennessee,Sumner,69878,54833
Tennessee,Trousdale,56981,54833
Tennessee,Unicoi,44526,54833
Tennessee,Van Buren,47576,54833
Tennessee,Warren,42668,54833
Tennessee,Wayne,42206,54833
Tennessee,Weakley,41488,54833
Tennessee,Williamson,111196,54833
Tennessee,Wilson,78962,54833
Utah,Box Elder,63573,74197
Utah,Cache,60530,74197
Utah,Daggett,74911,74197
Utah,Davis,87570,74197
Utah,Emery,57772,74197
Utah,Garfield,44279,74197
Utah,Grand,56639,74197
Utah,Iron,52045,74197
Utah,Juab,68333,74197
Utah,Kane,49486,74197
Utah,Millard,63221,74197
Utah,Morgan,100408,74197
Utah,Piute,29125,74197
Utah,Rich,63917,74197
Utah,Salt Lake,77128,74197
Utah,San Juan,49690,74197
Utah,Sanpete,55820,74197
Utah,Sevier,55361,74197
Utah,Summit,106973,74197
Utah,Tooele,76737,74197
Utah,Uintah,59428,74197
Utah,Utah,77057,74197
Utah,Wasatch,85807,74197
Utah,Washington,61747,74197
Utah,Wayne,49299,74197
Utah,Weber,71275,74197
Vermont,Bennington,58200,63477
Vermont,Caledonia,52481,63477
Vermont,Essex,47035,63477
Vermont,Franklin,65314,63477
Vermont,Lamoille,64179,63477
Vermont,Orange,62737,63477
Vermont,Rutland,57176,63477
Vermont,Washington,64862,63477
Vermont,Windsor,61503,63477
Virginia,Accomack,46178,76398
Minnesota,Watonwan,53304,73382
Missouri,Cass,72522,57290
Missouri,Christian,64442,57290
Missouri,Clinton,62213,57290
Missouri,Crawford,44380,57290
Missouri,Daviess,52143,57290
Missouri,Douglas,43714,57290
Missouri,Gasconade,56380,57290
Missouri,Grundy,46885,57290
Missouri,Hickory,33342,57290
Missouri,Howell,39482,57290
Missouri,Jasper,49155,57290
Missouri,Johnson,56440,57290
Missouri,Lafayette,62076,57290
Missouri,Lincoln,70424,57290
Missouri,McDonald,42876,57290
Missouri,Maries,48276,57290
Missouri,Miller,47964,57290
Missouri,Monroe,43422,57290
Missouri,New Madrid,40129,57290
Missouri,Oregon,32766,57290
Missouri,Pemiscot,34709,57290
Missouri,Shannon,36229,57290
Missouri,Stone,51476,57290
Missouri,Texas,35758,57290
Missouri,Washington,42849,57290
Missouri,Worth,47500,57290
Missouri,St. Louis city,45782,57290
Florida,Bay,56483,57703
Florida,Broward,60922,57703
Florida,Citrus,45689,57703
Florida,Columbia,44818,57703
Florida,Duval,56769,57703
Florida,Franklin,48814,57703
Florida,Glades,39709,57703
Florida,Hardee,40165,57703
Florida,Highlands,43708,57703
Florida,Indian River,57945,57703
Florida,Lafayette,51734,57703
Florida,Leon,54675,57703
Florida,Liberty,39121,57703
Florida,Marion,46587,57703
Florida,Monroe,72012,57703
Florida,Okeechobee,46097,57703
Nebraska,Arthur,48500,63015
Nebraska,Boone,60094,63015
Nebraska,Brown,41979,63015
Nebraska,Butler,59232,63015
Minnesota,Wadena,46178,73382
Nebraska,Chase,56135,63015
Nebraska,Clay,63686,63015
Nebraska,Cuming,59202,63015
Nebraska,Dawes,49379,63015
Nebraska,Dixon,57243,63015
Nebraska,Dundy,49211,63015
Nebraska,Frontier,59250,63015
Nebraska,Garden,42076,63015
Nebraska,Grant,43625,63015
Nebraska,Hamilton,68649,63015
Alabama,Cherokee,42509,52035
Alabama,Chilton,52141,52035
Alabama,Choctaw,36634,52035
Alabama,Clarke,37345,52035
