State,Median Household Income,Total Households,Households with Internet,With Desktop or Laptop,Only Smartphone,No Computer,Year,Percent With Internet,Percent With Any Computer,Percent With Desktop or Laptop,Percent Only Smartphone,Graduation Percent
Alabama,59609,1933150,1625807,1761106,5909,1599686,2022,84.1,17.25,91.10032848,0.305666917,88
Alaska,86370,264376,236875,254025,574,235280,2022,89.6,11.01,96.08474294,0.217115018,78
Arizona,72581,2739136,2448838,2606673,5276,2427018,2022,89.4,11.39,95.16405903,0.192615482,77
Arkansas,56335,1171694,968272,1070214,2313,956275,2022,82.64,18.39,91.33903562,0.19740649,88
California,91905,13315822,12195945,12763912,17564,12093418,2022,91.59,9.18,95.85523147,0.131903235,87
Colorado,87598,2278044,2095757,2191097,4055,2078715,2022,92,8.75,96.18326073,0.178003586,82
Connecticut,90213,1409807,1272555,1327317,2618,1259355,2022,90.26,10.67,94.14884449,0.185699177,89
Delaware,79325,389000,352105,368488,669,348579,2022,90.52,10.39,94.72699229,0.171979434,88
District of Columbia,101722,315785,281424,301109,282,278783,2022,89.12,11.72,95.35253416,0.089301265,76
Florida,67917,8353441,7429632,7955503,11765,7362818,2022,88.94,11.86,95.23623858,0.140840164,87
Georgia,71355,3946490,3468542,3715475,4300,3432897,2022,87.89,13.01,94.14631736,0.10895758,84
Hawaii,94814,483906,435393,457131,855,431107,2022,89.97,10.91,94.4669006,0.176687208,86
Idaho,70214,675323,608097,642941,1858,602156,2022,90.05,10.83,95.20496118,0.275127606,80
Illinois,78433,4968761,4388839,4647153,8764,4340006,2022,88.33,12.65,93.52740049,0.176381999,87
Indiana,67173,2653596,2307571,2461110,5734,2279321,2022,86.96,14.1,92.7462206,0.216084136,88
Iowa,70571,1290139,1117760,1196209,4544,1103599,2022,86.64,14.46,92.71938915,0.352210111,90
Kansas,69747,1148635,1012599,1082478,2249,1001666,2022,88.16,12.8,94.24038097,0.195797621,89
Kentucky,60183,1769102,1518043,1621234,3672,1496419,2022,85.81,15.41,91.64163513,0.207562933,90
Louisiana,57852,1765264,1467429,1606875,2425,1446490,2022,83.13,18.06,91.02746105,0.13737322,83
Maine,68251,580172,509099,538691,2356,502306,2022,87.75,13.42,92.85022373,0.406086471,86
Maryland,98461,2318124,2103025,2208216,3485,2083749,2022,90.72,10.11,95.25875234,0.150337083,86
Massachusetts,96505,2740995,2489302,2585859,3737,2461886,2022,90.82,10.18,94.3401575,0.136337352,90
Michigan,68505,4009253,3529341,3744995,7761,3486324,2022,88.03,13.04,93.4087971,0.193577208,81
Minnesota,84313,2256126,2030598,2132944,6237,2009414,2022,90,10.94,94.54010991,0.276447326,84
Mississippi,52985,1121269,899120,1009516,1768,885173,2022,80.19,21.06,90.03334615,0.157678487,89
Missouri,65920,2458324,2133965,2286650,5283,2107572,2022,86.81,14.27,93.01662433,0.214902511,90
Montana,66341,443917,386840,412393,2249,381343,2022,87.14,14.1,92.8986725,0.506626239,86
Nebraska,71722,776379,688362,727544,2188,680602,2022,88.66,12.34,93.70990199,0.281821121,97
Nevada,71646,1163671,1034261,1109538,1560,1025325,2022,88.88,11.89,95.34808378,0.13405851,82
New Hampshire,90845,545116,497411,517957,1241,492482,2022,91.25,9.66,95.01775769,0.227657966,88
New Jersey,97126,3438162,3119172,3250770,4631,3085893,2022,90.72,10.25,94.549646,0.13469406,85
New Mexico,58722,812852,666625,739700,2184,657926,2022,82.01,19.06,91.00057575,0.268683598,
New York,81386,7604523,6719878,7076521,13297,6628213,2022,88.37,12.84,93.05673742,0.174856464,87
North Carolina,66186,4105232,3576483,3823252,5680,3537697,2022,87.12,13.82,93.13120428,0.138360024,86
North Dakota,73959,320038,275251,298294,477,272404,2022,86.01,14.88,93.20580681,0.149044801,85
Ohio,66990,4789408,4205747,4443234,9777,4153130,2022,87.81,13.29,92.77209208,0.204137964,86
Oklahoma,61364,1522711,1306391,1417685,2507,1290933,2022,85.79,15.22,93.10269644,0.164640565,
Oregon,76632,1680800,1526087,1608652,4452,1511919,2022,90.8,10.05,95.70752023,0.26487387,81
Pennsylvania,73170,5193727,4540914,4772325,14258,4478808,2022,87.43,13.77,91.88632749,0.274523478,87
Puerto Rico,24002,1219658,892631,966575,13128,842599,2022,73.19,30.92,79.24967491,1.07636731,74
Rhode Island,81370,432219,386033,401649,623,381381,2022,89.31,11.76,92.92719663,0.144139892,83
South Carolina,63623,2023085,1723516,1875354,2989,1703264,2022,85.19,15.81,92.69773638,0.147744657,84
South Dakota,69457,351182,305608,325045,883,302053,2022,87.02,13.99,92.55742037,0.251436577,82
Tennessee,64035,2713635,2331002,2504694,3949,2302891,2022,85.9,15.14,92.30032779,0.145524361,90
Texas,73035,10490553,9286171,9941127,11350,9195978,2022,88.52,12.34,94.76265932,0.108192581,90
Utah,86833,1062819,979140,1033245,2092,972582,2022,92.13,8.49,97.21740014,0.196835021,88
Vermont,74014,265858,230509,248049,1560,226708,2022,86.7,14.73,93.30131123,0.586779409,83
Virginia,87249,3289776,2923674,3093201,5568,2894644,2022,88.87,12.01,94.02466916,0.169251645,89
Washington,90325,2979272,2749145,2864529,4938,2727906,2022,92.28,8.44,96.14862289,0.165745189,84
West Virginia,55217,716040,594366,635751,2220,581809,2022,83.01,18.75,88.78707893,0.310038545,91
Wisconsin,72458,2425488,2137129,2253812,8489,2111066,2022,88.11,12.96,92.92200168,0.349991424,90
Wyoming,72495,234156,207049,221362,528,204674,2022,88.42,12.59,94.53612122,0.225490699,82
